subj,trial,block,cond,spkr,adapt,stim,resp,exper.half,vowel,step,exper,word,Ncond,Nvowel,Nstep,Nspkr,Nhalf,gender,age,ling,L1,L2
s10z,0,block0,low,Meg,final_ZET_low_s23.wav,final_s23_uw_stim3.wav,2,first,uw,3,z,ZET,-0.5,0.5,-1.21845292287085,0.5,0.5,F,21,monolingual,English,
s10z,1,block0,low,Meg,final_ZOUGHT_low_s23.wav,final_s23_iy_stim8.wav,1,first,iy,8,z,ZOUGHT,-0.5,-0.5,0.522194109801794,0.5,0.5,F,21,monolingual,English,
s10z,2,block0,low,Meg,final_ZOOT_low_s23.wav,final_s23_uw_stim6.wav,1,first,uw,6,z,ZOOT,-0.5,0.5,-0.174064703267265,0.5,0.5,F,21,monolingual,English,
s10z,3,block0,low,Meg,final_ZOOT_low_s23.wav,final_s23_iy_stim6.wav,1,first,iy,6,z,ZOOT,-0.5,-0.5,-0.174064703267265,0.5,0.5,F,21,monolingual,English,
s10z,4,block0,low,Meg,final_ZATE_low_s23.wav,final_s23_iy_stim10.wav,1,first,iy,10,z,ZATE,-0.5,-0.5,1.21845292287085,0.5,0.5,F,21,monolingual,English,
s10z,5,block0,low,Meg,final_ZEET_low_s23.wav,final_s23_uw_stim2.wav,2,first,uw,2,z,ZEET,-0.5,0.5,-1.56658232940538,0.5,0.5,F,21,monolingual,English,
s10z,6,block0,low,Meg,final_ZIT_low_s23.wav,final_s23_iy_stim4.wav,1,first,iy,4,z,ZIT,-0.5,-0.5,-0.870323516336324,0.5,0.5,F,21,monolingual,English,
s10z,7,block0,low,Meg,final_ZUT_low_s23.wav,final_s23_uw_stim9.wav,1,first,uw,9,z,ZUT,-0.5,0.5,0.870323516336324,0.5,0.5,F,21,monolingual,English,
s10z,8,block0,low,Meg,final_ZUT_low_s23.wav,final_s23_iy_stim9.wav,1,first,iy,9,z,ZUT,-0.5,-0.5,0.870323516336324,0.5,0.5,F,21,monolingual,English,
s10z,9,block0,low,Meg,final_ZOAT_low_s23.wav,final_s23_iy_stim5.wav,2,first,iy,5,z,ZOAT,-0.5,-0.5,-0.522194109801794,0.5,0.5,F,21,monolingual,English,
s10z,10,block0,low,Meg,final_ZAT_low_s23.wav,final_s23_iy_stim11.wav,1,first,iy,11,z,ZAT,-0.5,-0.5,1.56658232940538,0.5,0.5,F,21,monolingual,English,
s10z,11,block0,low,Meg,final_ZAT_low_s23.wav,final_s23_uw_stim11.wav,1,first,uw,11,z,ZAT,-0.5,0.5,1.56658232940538,0.5,0.5,F,21,monolingual,English,
s10z,12,block0,low,Meg,final_ZET_low_s23.wav,final_s23_iy_stim3.wav,2,first,iy,3,z,ZET,-0.5,-0.5,-1.21845292287085,0.5,0.5,F,21,monolingual,English,
s10z,13,block0,low,Meg,final_ZATE_low_s23.wav,final_s23_uw_stim10.wav,1,first,uw,10,z,ZATE,-0.5,0.5,1.21845292287085,0.5,0.5,F,21,monolingual,English,
s10z,14,block0,low,Meg,final_ZOT_low_s23.wav,final_s23_iy_stim7.wav,1,first,iy,7,z,ZOT,-0.5,-0.5,0.174064703267265,0.5,0.5,F,21,monolingual,English,
s10z,15,block0,low,Meg,final_ZEET_low_s23.wav,final_s23_iy_stim2.wav,2,first,iy,2,z,ZEET,-0.5,-0.5,-1.56658232940538,0.5,0.5,F,21,monolingual,English,
s10z,16,block0,low,Meg,final_ZIT_low_s23.wav,final_s23_uw_stim4.wav,2,first,uw,4,z,ZIT,-0.5,0.5,-0.870323516336324,0.5,0.5,F,21,monolingual,English,
s10z,17,block0,low,Meg,final_ZOAT_low_s23.wav,final_s23_uw_stim5.wav,1,first,uw,5,z,ZOAT,-0.5,0.5,-0.522194109801794,0.5,0.5,F,21,monolingual,English,
s10z,18,block0,low,Meg,final_ZOT_low_s23.wav,final_s23_uw_stim7.wav,1,first,uw,7,z,ZOT,-0.5,0.5,0.174064703267265,0.5,0.5,F,21,monolingual,English,
s10z,19,block0,low,Meg,final_ZOUGHT_low_s23.wav,final_s23_uw_stim8.wav,1,first,uw,8,z,ZOUGHT,-0.5,0.5,0.522194109801794,0.5,0.5,F,21,monolingual,English,
s10z,20,block1,low,Meg,final_ZUT_low_s23.wav,final_s23_iy_stim9.wav,1,first,iy,9,z,ZUT,-0.5,-0.5,0.870323516336324,0.5,0.5,F,21,monolingual,English,
s10z,21,block1,low,Meg,final_ZOAT_low_s23.wav,final_s23_iy_stim5.wav,1,first,iy,5,z,ZOAT,-0.5,-0.5,-0.522194109801794,0.5,0.5,F,21,monolingual,English,
s10z,22,block1,low,Meg,final_ZET_low_s23.wav,final_s23_iy_stim3.wav,2,first,iy,3,z,ZET,-0.5,-0.5,-1.21845292287085,0.5,0.5,F,21,monolingual,English,
s10z,23,block1,low,Meg,final_ZET_low_s23.wav,final_s23_uw_stim3.wav,2,first,uw,3,z,ZET,-0.5,0.5,-1.21845292287085,0.5,0.5,F,21,monolingual,English,
s10z,24,block1,low,Meg,final_ZOAT_low_s23.wav,final_s23_uw_stim5.wav,1,first,uw,5,z,ZOAT,-0.5,0.5,-0.522194109801794,0.5,0.5,F,21,monolingual,English,
s10z,25,block1,low,Meg,final_ZATE_low_s23.wav,final_s23_uw_stim10.wav,1,first,uw,10,z,ZATE,-0.5,0.5,1.21845292287085,0.5,0.5,F,21,monolingual,English,
s10z,26,block1,low,Meg,final_ZATE_low_s23.wav,final_s23_iy_stim10.wav,1,first,iy,10,z,ZATE,-0.5,-0.5,1.21845292287085,0.5,0.5,F,21,monolingual,English,
s10z,27,block1,low,Meg,final_ZEET_low_s23.wav,final_s23_uw_stim2.wav,2,first,uw,2,z,ZEET,-0.5,0.5,-1.56658232940538,0.5,0.5,F,21,monolingual,English,
s10z,28,block1,low,Meg,final_ZIT_low_s23.wav,final_s23_uw_stim4.wav,2,first,uw,4,z,ZIT,-0.5,0.5,-0.870323516336324,0.5,0.5,F,21,monolingual,English,
s10z,29,block1,low,Meg,final_ZAT_low_s23.wav,final_s23_uw_stim11.wav,1,first,uw,11,z,ZAT,-0.5,0.5,1.56658232940538,0.5,0.5,F,21,monolingual,English,
s10z,30,block1,low,Meg,final_ZUT_low_s23.wav,final_s23_uw_stim9.wav,1,first,uw,9,z,ZUT,-0.5,0.5,0.870323516336324,0.5,0.5,F,21,monolingual,English,
